ask_content	answer_content	related	related_classes	tieba_name	source
火粉装啥呢?还有清那个pv不是发过了,这个新模是修改的,宣发两次是吧,又不是特别篇	噗,高兴就好	0.834	0	guochandonhua	pc
这个套路估计用过很多次了看着就很熟练	这种骗子一点技术都没有的上来就借钱	0.835	0	chuduixiang	pc
你还不如六年后等神界传说吧,我还希望玄机给七怪的神装都换过呢	玄机急着让太子吃一部分斗一热度。	0.9253	0	guochandonhua	pc
张飞难道不是上单吗	污渍不是关羽?	0.8916	0	kangyabeiguo	pc
加油!	[怒]加油	0.8867	0	sunxiaochuan	pc
以前10分,现在只会炒cp和低能案件剧情负一万分	剧场版越出越	0.839	0	sunxiaochuan	pc
我也没	跟我一起看短剧	0.823	0	hanpi	pc
卡利贝尔还行,不算刀但是安排的不错,最后收回伏笔时候我确实惊到了一下,不刀但是够精彩(相对别的来说)	总体还好吧,传说任务那真是没几个好的	0.9473	0	yuanshen	pc
小时候一到晚上算是这个,没得看硬着看完。看到关羽死了还以为假的	说实话小时候没看懂,当时只觉得出场人物太多了根本记不住,中间落一集没看后面就看不懂了。这动画适合初高中看,不是给小学生看的	0.96	0	sunxiaochuan	pc
哥们被你骗一下就骗了,别把自己骗进去了	骗大伙可以 后面忘了	0.917	0	sunxiaochuan	pc
几十年后 孩子:这个药是什么 a:治病的 但很贵 治不好后续还要一直吃 孩子:那我觉得 药多好 这个药都不能给他买	孩子:对!不是钱的事	0.9863	0	sunxiaochuan	pc
确实挺能记录的,怎么一天不到一百多楼了!	喔八十多楼	0.9463	0	hanpi	pc
不知道在你眼里什么算饭圈,斗破云美薰争着吵架,完美三个吵,仙逆现在就出现了一个女没人吵也是打入饭圈了	炒co不就是饭圈吗,那敢问在你眼里什么才叫饭圈呢	0.9805	0	guochandonhua	pc
把鲁智深演成张飞呢	新水还是鲁提辖时期的确挺适合演张飞的	0.962	0	bilibili	pc
加油加油,这才是玩游戏	加油	0.9346	0	kangyabeiguo	pc
我为什么要驳倒你?我的话的意思难道不是没种情况都有可能?我是不是把我认为的可能说了呢?还有就是,有没有可能我不玩兰陵王,但是我可以碰见对面玩兰陵王呢?我可以根据以往我碰见的兰陵王来判断,如果能反隐的话,这对于我来说是利大于弊,对于兰陵王来说则是弊大于利	我没说选择权在兰陵王手上?我可以选择上我也可以不上,那你是交不交呢?你不交我不出技能,你怎么抓兰陵王?除了削弱不带脑玩的,对会玩的有什么影响?	0.998	0	wangzherongyao	pc
老婆老婆	10,老婆满昏	0.809	0	kangyabeiguo	pc
"经典""我说的是"",从来不反思自己的表达问题,只会给自己开脱找面子"	取自楼下,说的没问题,层主是懂的,说得有点不清楚而已	0.876	0	bilibili	pc
一手卡牌打爆巅峰秀,和内战混个冠军还是有区别的	劳资当年脚踩巅峰许秀拿的msi	0.877	0	kangyabeiguo	pc
faker回归中单锐雯	faker 饮血 残暴 绿甲	0.969	0	kangyabeiguo	pc
给你个参考,我1命(和零命没区别),风套风伤杯,天空弓,攻击1800,暴击65暴伤150,e一下暴击一万,可能技能等级低的原因	暴击一万挺难的 西风 暴击8000 注意全是弓藏	0.997	0	yuanshen	pc
