ask_content	answer_content	related	related_classes	tieba_name	source
很好看的校园番为啥不火	看过一半	0.842	0	donman	tp
尽力了败者组杀回来就是了,今天打的可以	今天不黑袅袅,打挺好的,这份契约维持到下一次鸟粪恶心到我	0.976	0	kangyabeiguo	tp
广州的这么多,我居然看不到深圳的	我是深圳的	0.9414	0	chuduixiang	tp
如何评价blg成为夏季赛乌龟队	碧螺春是这样的[吐]不愧是lpl最恶心的战队	0.9272	0	kangyabeiguo	tp
处对象吧17年人口普查,来登记吧!	id:戒情 女啊 19了 处对象吧 李毅吧	0.9854	0	chuduixiang	tp
挂一个超孝子,然后睡觉去了	天天关羽战秦琼啊,谈的头头是道又没正经比过差不多不就行了吗	0.8965	0	kangyabeiguo	tp
感谢王者荣耀吧,奔现成功,开帖细	我在奔现路上了	0.989	0	wangzherongyao	tp
抱着爱丽丝的桃华	我只是一看到桃华进进来了	0.9824	0	bilibili	tp
关注艾吧一年了!	我是赵梦蕊小号	0.832	0	aiouniya	tp
最近想补一些恋爱类的番,问一下	路人女主,看完想结婚的那种	0.9316	0	donman	tp
孙吧是真的逆天	孙吧改名女权吧吧,个个没带脑子,而且还控评,烂完了	0.976	0	sunxiaochuan	tp
20周年电影《猪猪侠:一只老猪的逆袭》公布	这是自嘲新版造型?	0.834	0	bilibili	tp
前线急报!飞将相布出任高丽中军大将,目前已于阵前挑战!	各路将军必能拿下大飞	0.9463	0	kangyabeiguo	tp
和朋友选地方去旅游 我竟然傻傻的以为 成都是成都 四川是四川	啊 难道不是成都省四川市吗	0.981	0	hanpi	tp
什么样的冷兵器让你觉得一眼看他就是高手?提名太刀	耍巨棒的法师	0.8975	0	bilibili	tp
放到现实白河月爱这种女生你们真的能把握得住吗?	先看看有没有病,没有就交往一段时间然后直接踹掉,或者直接被她踹掉,这种人基本只能维持皮肉感情	0.877	0	donman	tp
汤可鑫,你到底99还是97,心里没数吗?	咋那么喜欢恶心人呢,不是喜欢跳吗?	0.867	0	wangzherongyao	tp
夜深了,在这里堆叠一下自己的xp吧	天津同城,可不可以认识一下,我也是无x,你说的那些玩法我也都很喜欢	0.8633	0	simubinansuo	tp
你们说到底什么人可以不用上班啊	我不上班就没钱 没啥好羡慕的	0.9434	0	hanpi	tp
原神还是膨胀了,满命打小怪都会随便翻车了	胡桃蒸发,一套带走[怒]	0.847	0	yuanshen	tp
老头杯tabe教练有点东西啊	之前煮开跟tabe上饭堂就看出来了。问到教练的问题的时候煮开一堆废话,人家tabe都是一针见血的	0.9805	0	kangyabeiguo	tp
凡人修仙传几个女主?	一个老婆,一堆红颜	0.811	0	guochandonhua	tp
你们看番会开倍速吗?	不开捏	0.8384	0	donman	tp
求求给孩子推荐一点番吧	幸腹涂鸦,超元气三姐妹,雏子的笔记,女孩的钓鱼慢活,反正芳文社的番绝对符合你的要求	0.9824	0	donman	tp
这下口碑,真的变臭了。	一个周口,一个驻马店	0.825	0	sunxiaochuan	tp
我突然想到怎么改动吸血鬼这英雄	我的建议是干脆bp阶段英雄对所有人隐藏了,这样打野也不会秒了,对面中单也不会笑嘻嘻等着收分了	0.978	0	kangyabeiguo	tp
我把这陈年风褛	午饭都不用吃了…	0.823	0	simubinansuo	tp
s9夺冠到底这3个谁才是最关键的核心	拉夫是核心,小天最亮眼。 说白了跟去年t1一样,飞飞是核心,但是寿司最亮眼	0.867	0	kangyabeiguo	tp
拿下,黑子们来給blg道歉!	我白子我也骂 太臭了	0.8247	0	kangyabeiguo	tp
发现最近很多讨论唐三的吧友,都忽视了唐三成名的最重要原因	我初中的时候很喜欢看唐家三少的书	0.958	0	bilibili	tp
好烦啊好烦啊	上班不想做事 也不知道摸鱼干什么 手机里的app打开了个遍	0.885	0	aiouniya	tp
我已经 想好了 今天休息要一觉睡到2点	哈哈哈我也这样 休息的时候醒的比上班还早	0.96	0	hanpi	tp
也是无痛当妈了	好好好	0.8096	0	wangzherongyao	tp
你们穿过300以上的衣服吗?是种什么感觉?	[黑线]之前穿了哥哥6w的风衣 唯一的感觉就是好怕弄坏它 真不如自己几百块钱的衣服 穿着贴身舒适,口袋多(这个划重点!)。	0.8447	0	aiouniya	tp
vy 王者朋友圈	我的_7boyi	0.8594	0	wangzherongyao	tp
猪牛羊等红肉有哪些危害?	你都问有什么危害了,人家肯定找危害的地方说啊	0.8164	0	sunxiaochuan	tp
本人医生,现是本吧志愿者	请问大夫,icu伙食有所里的好吗?	0.8076	0	ruozhi	tp
geng很有可能成为s赛历史上第一个走完黄金之路的战队	不好说,去年京东我也觉得版本怎么削都无所谓,但是版本对队伍影响太大了,你geng上半年世界第一,下半年就未必,有太多拿完msi感觉天下无敌的队伍在下半年和世界赛变捞的	0.9526	0	kangyabeiguo	tp
尖塔劣人笑话一则	毒猎发配甜甜圈 小刀发配时光老头	0.8125	0	bilibili	tp
斗罗大陆和永劫无间的联动在海外完全是另一个画风啊,一边倒好评	楼主很关心国产动画的海外成绩呀	0.946	0	guochandonhua	tp
天津附近能常见面的,认真处,粘人恋爱脑,真诚的来谢谢	天津,可以看下我的帖子	0.96	0	chuduixiang	tp
这怎么歪?兄弟们	0命不堆精通就完事了吗?	0.801	0	yuanshen	tp
好吧 找一个会粤语且专一的对象难过登天	终于撞翻个本地人咯	0.8325	0	chuduixiang	tp
你们曾经因为什么分手	莫名其妙的分手	0.9507	0	hanpi	tp
最让人恶心的洗白角色-小丑女哈莉	人气角色不舍得杀	0.913	0	bilibili	tp
五分钟后我将发出代付 谁会是那个幸运儿	我来帮你取消	0.852	0	hanpi	tp
抗抗们先统一一下口径msi到底有没有含金量	肯定有含金量,s冠>msi冠>s亚,何况现在队伍都扩充了	0.992	0	kangyabeiguo	tp
用一句话证明你没看过这句话!	我是瞎子	0.8076	0	ruozhi	tp
万妖馆———营业中	困顿的我【趴】	0.814	0	donman	tp
你怎么还没睡着?	因为在想你	0.834	0	sunxiaochuan	tp
